,rank,SMILES,Enamine catalog ID,mol_weight,logP,PAINS passed,DockingScore
128,129,CCc1ccnc(c1)CNC(=O)NCCCc1cccc(c1)F,Z1975115382,315.386,3.2151000000000014,Yes,-12.532977104187012
129,130,O=C(C(=O)NCCc1ccc(c(c1)O)C)NCC1NCC(C1)(C)C,Z3648690141,333.426,0.8636199999999992,Yes,-12.52839469909668
130,131,FC1CCC(C1)CNC(=O)NCCC1Cc2c(C1)cccc2,PV-002354912033,304.403,3.228900000000002,Yes,-12.527276039123535
131,132,N#Cc1ccc(cc1F)NC(=O)NC[C@H](c1ccc(cc1)F)O,Z2171639379,317.291,2.6915800000000014,Yes,-12.52427577972412
132,133,O=C1CCCc2c(N1)ccc(c2)NC(=O)C(=O)N1CCC(CC1)S(=O)(=O)N,Z1786948361,394.447,0.17940000000000123,Yes,-12.523927688598633
133,134,Cc1ccc(cc1)c1csc(=O)n1CC(=O)N1CC(C1)Cc1cccc(c1)C,Z1382456774,392.516,3.894740000000003,Yes,-12.517792701721191
134,135,O[C@@H]1CC(C[C@@H]1O)NC(=O)NCCC1Cc2c(C1)cccc2,Z3555179292,304.385,0.9748999999999994,Yes,-12.516691207885742
135,136,Brc1ccc(cc1)NC(=O)C(=O)NCCCc1ccccc1,Z274746386,361.233,3.1366000000000014,Yes,-12.505754470825195
136,137,Clc1ccc2c(c1)CCC2NC(=O)C(=O)NC1CCc2c(C1)cccc2,Z2030540500,368.857,3.1172000000000013,Yes,-12.503820419311523
137,138,CC1CN(Cc2c1cccc2)C(=O)c1ccc([nH]c1=O)c1ccco1,Z905408056,334.369,3.394400000000002,Yes,-12.497750282287598
138,139,O=C(NC(=O)NC12CC3CC(C2)CC(C1)C3)CNc1ccc2c(c1)sc(n2)C,Z52942202,398.524,3.8112200000000023,Yes,-12.495375633239746
139,140,Ic1ccc(cc1)NC(=O)C(=O)NCCCc1ccccc1,Z436268952,408.234,2.978700000000001,Yes,-12.490484237670898
140,141,CC(Oc1ccc(cc1)NC(=O)C(=O)NCC1CC2(C1)CC(C2)O)C,Z3867656517,346.421,2.0796,Yes,-12.489662170410156
141,142,CCc1cnc(s1)NC(=O)NCC(c1ccc2c(c1)cccc2)O,Z1278392668,341.429,3.7138000000000013,Yes,-12.487619400024414
142,143,O=C(NCc1cccnc1)CCNC(=O)c1ccc2c(c1)oc1c2cccc1,Z2068604989,373.405,3.417300000000002,Yes,-12.484906196594238
143,144,CC1CCC2(CC1)NC(=O)N(C2=O)NC(=O)c1ccc(cc1)C1CC(=O)C1,Z3047534118,369.415,2.278600000000001,Yes,-12.480161666870115
144,145,N#Cc1ccc(cc1Cl)NC(=O)C(=O)NCCCc1ccccc1,Z436269428,341.792,2.899180000000001,Yes,-12.478513717651367
145,146,Clc1scc(c1)NC(=O)C(=O)NCCCc1cccc(c1)F,Z1823738233,340.802,3.2281000000000013,Yes,-12.475156784057615
146,147,Cc1cccc(c1)CC1CN(C1)C(=O)C(=O)Nc1ccc2c(c1)CCNC2=O,Z2591009217,377.437,1.92052,Yes,-12.460854530334473
147,148,CCN(C(=O)c1ccc(cc1)NC(=O)NCc1cccc(c1)N)CC,Z2594051320,340.420,3.0725000000000007,Yes,-12.452046394348145
148,149,N#Cc1ccc(cc1)N1CCC(CC1)NC(=O)CC12CC3CC(C2)CC(C1)C3,Z932157490,377.523,4.249780000000004,Yes,-12.4512939453125
149,150,Clc1ccc(cc1)NC(=O)C(=O)N1CCN(CC1)C(=O)c1ccccc1Cl,Z136366500,406.263,2.916500000000001,Yes,-12.445205688476562
